column,inferred_dtype
2734-0.0,Int64
2734-1.0,Int64
2734-2.0,Int64
2744-0.0,Int64
2744-1.0,Int64
2744-2.0,Int64
2754-0.0,Int64
2754-1.0,Int64
2754-2.0,Int64
2764-0.0,Int64
2764-1.0,Int64
2764-2.0,Int64
2774-0.0,Int64
2774-1.0,Int64
2774-2.0,Int64
2784-0.0,Int64
2784-1.0,Int64
2784-2.0,Int64
2794-0.0,Int64
2794-1.0,Int64
2794-2.0,Int64
2804-0.0,Int64
2804-1.0,Int64
2804-2.0,Int64
2814-0.0,Int64
2814-1.0,Int64
2814-2.0,Int64
2824-0.0,Int64
2824-1.0,Int64
2824-2.0,Int64
2834-0.0,Int64
2834-1.0,Int64
2834-2.0,Int64
2844-0.0,Int64
2844-1.0,Int64
2844-2.0,Int64
2867-0.0,Int64
2867-1.0,Int64
2867-2.0,Int64
2877-0.0,Int64
2877-1.0,Int64
2877-2.0,Int64
2887-0.0,Int64
2887-1.0,Int64
2887-2.0,Int64
2897-0.0,Int64
2897-1.0,Int64
2897-2.0,Int64
2907-0.0,Int64
2907-1.0,Int64
2907-2.0,Int64
2926-0.0,Int64
2926-1.0,Int64
2926-2.0,Int64
2936-0.0,Int64
2936-1.0,Int64
2936-2.0,Int64
2946-0.0,Int64
2946-1.0,Int64
2946-2.0,Int64
2956-0.0,Int64
2956-1.0,Int64
2956-2.0,Int64
2966-0.0,Int64
2966-1.0,Int64
2966-2.0,Int64
2976-0.0,Int64
2976-1.0,Int64
2976-2.0,Int64
2986-0.0,Int64
2986-1.0,Int64
2986-2.0,Int64
3005-0.0,Int64
3005-1.0,Int64
3005-2.0,Int64
3059-0.0,Int64
3059-0.1,Int64
3059-0.2,Int64
3059-1.0,Int64
3059-1.1,Int64
3059-1.2,Int64
3059-2.0,Int64
3059-2.1,Int64
3059-2.2,Int64
3060-0.0,string
3060-0.1,string
3060-0.2,string
3060-1.0,string
3060-1.1,string
3060-1.2,string
3060-2.0,string
3060-2.1,string
3060-2.2,string
3061-0.0,Int64
3061-0.1,Int64
3061-0.2,Int64
3061-1.0,Int64
3061-1.1,Int64
3061-1.2,Int64
3061-2.0,Int64
3061-2.1,Int64
3061-2.2,Int64
3062-0.0,Float64
3062-0.1,Float64
3062-0.2,Float64
3062-1.0,Float64
3062-1.1,Float64
3062-1.2,Float64
3062-2.0,Float64
3062-2.1,Float64
3062-2.2,Float64
3063-0.0,Float64
3063-0.1,Float64
3063-0.2,Float64
3063-1.0,Float64
3063-1.1,Float64
3063-1.2,Float64
3063-2.0,Float64
3063-2.1,Float64
3063-2.2,Float64
3064-0.0,Int64
3064-0.1,Int64
3064-0.2,Int64
3064-1.0,Int64
3064-1.1,Int64
3064-1.2,Int64
3064-2.0,Int64
3064-2.1,Int64
3064-2.2,Int64
3065-0.0,Int64
3065-0.1,Int64
3065-0.2,Int64
3065-1.0,Int64
3065-1.1,Int64
3065-1.2,Int64
3065-2.0,Int64
3065-2.1,Int64
3065-2.2,Int64
3066-0.0,string
3066-0.1,string
3066-0.2,string
3066-1.0,string
3066-1.1,string
3066-1.2,string
3066-2.0,string
3066-2.1,string
3066-2.2,string
3077-0.0,Int64
3077-1.0,Int64
3077-2.0,Int64
3079-0.0,Int64
3079-1.0,Int64
3079-2.0,Int64
3081-0.0,Int64
3082-0.0,Int64
3083-0.0,Float64
3084-0.0,Float64
3085-0.0,Float64
3086-0.0,Float64
3088-0.0,Int64
3088-1.0,Int64
3088-2.0,Int64
3089-0.0,Int64
3089-1.0,Int64
3089-2.0,Int64
3090-0.0,Int64
3090-1.0,Int64
3090-2.0,Int64
3132-0.0,Int64
3132-1.0,Int64
3132-2.0,Int64
3137-0.0,Int64
3137-1.0,Int64
3137-2.0,Int64
3140-0.0,Int64
3140-1.0,Int64
3140-2.0,Int64
3143-0.0,Float64
3144-0.0,Float64
3146-0.0,Float64
3147-0.0,Float64
3148-0.0,Float64
3159-0.0,Int64
3159-1.0,Int64
3159-2.0,Int64
3160-0.0,Float64
3160-1.0,Int64
3160-2.0,Int64
3166-0.0,string
3166-0.1,string
3166-0.2,string
3166-0.3,string
3166-0.4,string
3166-0.5,string
3166-0.6,string
3166-1.0,string
3166-1.1,string
3166-1.2,string
3166-1.3,string
3166-1.4,string
3166-1.5,string
3166-1.6,string
3166-2.0,string
3166-2.1,string
3166-2.2,string
3166-2.3,string
3166-2.4,string
3166-2.5,string
3166-2.6,string
3393-0.0,Int64
3393-1.0,Int64
3393-2.0,Int64
3404-0.0,Int64
3404-1.0,Int64
3404-2.0,Int64
3414-0.0,Int64
3414-1.0,Int64
3414-2.0,Int64
3426-0.0,Int64
3426-1.0,Int64
3426-2.0,Int64
3436-0.0,Int64
3436-1.0,Int64
3436-2.0,Int64
3446-0.0,Int64
3446-1.0,Int64
3446-2.0,Int64
3456-0.0,Int64
3456-1.0,Int64
3456-2.0,Int64
3466-0.0,Int64
3466-1.0,Int64
3466-2.0,Int64
3476-0.0,Int64
3476-1.0,Int64
3476-2.0,Int64
3486-0.0,Int64
3486-1.0,Int64
3486-2.0,Int64
3496-0.0,Int64
3496-1.0,Int64
3496-2.0,Int64
3506-0.0,Int64
3506-1.0,Int64
3506-2.0,Int64
3526-0.0,Int64
3526-1.0,Int64
3526-2.0,Int64
3536-0.0,Int64
3536-1.0,Int64
3536-2.0,Int64
3546-0.0,Int64
3546-1.0,Int64
3546-2.0,Int64
3571-0.0,Int64
3571-1.0,Int64
3571-2.0,Int64
3581-0.0,Int64
3581-1.0,Int64
3581-2.0,Int64
3591-0.0,Int64
3591-1.0,Int64
3591-2.0,Int64
3606-0.0,Int64
3606-1.0,Int64
3606-2.0,Int64
3616-0.0,Int64
3616-1.0,Int64
3616-2.0,Int64
3627-0.0,Int64
3627-1.0,Int64
3627-2.0,Int64
3637-0.0,Int64
3637-1.0,Int64
3637-2.0,Int64
3647-0.0,Int64
3647-1.0,Int64
3647-2.0,Int64
3659-0.0,Int64
3659-1.0,Int64
3659-2.0,Int64
3669-0.0,Int64
3669-1.0,Int64
3669-2.0,Int64
3680-0.0,Int64
3680-1.0,Int64
3680-2.0,Int64
3700-0.0,Int64
3700-1.0,Int64
3700-2.0,Int64
3710-0.0,Int64
3710-1.0,Int64
3710-2.0,Int64
3720-0.0,Int64
